EU rejects German call to boycott British lamb .	NNP VBZ JJ NN TO VB JJ NN .
-- London Newsroom +44 171 542 7717	: NNP NNP CD CD CD CD
NZ bills gain ground after see-saw session .	JJ NNS NN NN IN JJ NN .
WELLINGTON 1996-08-28	NNP CD
0515 GMT	CD RB
The New Zealand money market gained slightly at Wednesday 's close after what dealers described as a see-saw trading session .	DT NNP NNP NN NN VBD RB IN NNP POS NN IN WDT NNS VBD IN DT NN NN NN .
Ninety-day bank bill rates shed five points to 9.93 percent and September bank bill futures rose four to 90.18 .	JJ NN NN NNS VB CD NNS TO CD NN CC NNP NN NN NNS VBD CD TO CD .
However , bonds finished largely flat .	RB , NNS VBD RB JJ .
" Our bonds were better bid initially but they sold off on a lack of demand , and the short end went with it too on a lower currency .	" PRP$ NNS VBD RB VB RB CC PRP VBD RP IN DT NN IN NN , CC DT JJ NN VBD IN PRP RB IN DT JJR NN .
" There were big buyers at the base of where the market sold to , and when the currency got bought back on talk of a samurai the market got bought back again , " a dealer said .	" EX VBD JJ NNS IN DT NN IN WRB DT NN VBN TO , CC WRB DT NN VBD VBN RB IN NN IN DT NN DT NN VBD VBN RB RB , " DT NN VBD .
Volumes were reasonable in the money market but thin in bonds .	NNS VBD JJ IN DT NN NN CC JJ IN NNS .
Dealers said the market seemed to be trading a range and would wait for more political polls to provide direction .	NNS VBD DT NN VBD TO VB VBG DT NN CC MD VB IN JJR JJ NNS TO VB NN .
They were confident of further eurokiwi issuance but said the timing was less of a certainty .	PRP VBD JJ IN JJ JJ NN CC VBD DT NN VBD JJR IN DT NN .
-- Wellington newsroom ( 64 4 ) 473 4746	: NNP NN ( CD CD ) CD CD
RTRS - Guinness Peat expects strong full yr .	NNS : NNP NNP VBZ JJ JJ NN .
SYDNEY 1996-08-28	NNP CD
British-based investment company Guinness Peat Group Plc ( GPG ) said on Wednesday it expected a strong full year result .	JJ NN NN NNP NNP NNP NNP ( NNP ) VBD IN NNP PRP VBD DT JJ JJ NN NN .
" We think we 're in a position to produce a strong result , however a lot of our profitability must inevitably depend on a number of ( company ) results , " said GPG director Garry Weiss .	" PRP VBP PRP VBP IN DT NN TO VB DT JJ NN , RB DT NN IN PRP$ NN MD RB VB IN DT NN IN ( NN ) NNS , " VBD VBG NN NNP NNP .
GPG earlier said its net profit for the six months to June 30 rose to 9.77 million pounds from 6.93 million in the previous first half .	NNP RB VBD PRP$ JJ NN IN DT CD NNS TO NNP CD VBD TO CD CD NNS IN CD CD IN DT JJ JJ NN .
The company did not declare an interim dividend as in the previous year .	DT NN VBD RB VB DT JJ NN IN IN DT JJ NN .
Weiss said the Australian share market had been somewhat negative for much of 1996 and this had some effect on the company 's first half results .	NNP VBD DT JJ NN NN VBD VBN RB JJ IN JJ IN CD CC DT VBD DT NN IN DT NN POS JJ NN NNS .
" However , it certainly is a very pleasing result for the first six months , " he said .	" RB , PRP RB VBZ DT RB NN NN IN DT JJ CD NNS , " PRP VBD .
Weiss said most of the company 's half year earning stemmed from the sale of its 50 percent stake in Physicians Insurance Co of Ohio .	NNP VBD JJS IN DT NN POS NN NN NN VBD IN DT NN IN PRP$ CD NN NN IN NNPS NNP NNP IN NNP .
He said the company decided to sell its U.S. investment in order to consolidate investments closer to its administrative base .	PRP VBD DT NN VBD TO VB PRP$ NNP NN IN NN TO VB NNS RBR TO PRP$ JJ NN .
GPG said its stakes in Tyndall Australia Ltd and Mid-East Minerals Ltd both contributed strongly to GPG 's first half earnings .	NNP VBD PRP$ NNS IN NNP NNP NNP CC NNP NNPS NNP DT VBD RB TO JJ POS JJ NN NNS .
-- Sydney Newsroom 61-2 9373-1800	: NNP NNP NN CD
RTRS - Newcrest Q4 net profit A$ 4.3 mln .	NNS : NN NNP JJ NN $ CD NNS .
SYDNEY 1996-08-28	NNP CD
Gold miner Newcrest Mining Ltd said on Wednesday it posted a A$ 4.3 million profit after tax in the final quarter of the year to June 30 , 1996 .	NN NN NNP NNP NNP VBD IN NNP PRP VBD DT $ CD CD NN IN NN IN DT JJ NN IN DT NN TO NNP CD , CD .
Earlier , Newcrest reported a drop in net profit after abnormals to A$ 20.81 million for the year from A$ 42.4 million the previous year .	RBR , NNP VBD DT NN IN JJ NN IN NNS TO $ CD CD IN DT NN IN $ CD CD DT JJ NN .
Newcrest said earnings from the Telfer and Boddington mines were lower than the previous year due to lower head grades at the mines , forcing gold production lower .	JJS VBD NNS IN DT JJ CC JJ NNS VBD JJR IN DT JJ NN JJ TO JJR NN NNS IN DT NNS , VBG JJ NN RBR .
Production costs also rose eight percent during the year to A$ 406 per ounce .	NN NNS RB VBD CD NN IN DT NN TO $ CD IN NN .
RTRS - Queensland gunman evades police in bush hunt .	NNS : NNP NN VBZ NN IN NN NN .
BRISBANE 1996-08-28	NN CD
Australian police on Wednesday continued to hunt a gunman in dense bushland after he killed his wife and wounded three other people , warning the man is extremely dangerous and may take a hostage to escape .	JJ NN IN NNP VBD TO VB DT NN IN JJ NN IN PRP VBD PRP$ NN CC VBN CD JJ NNS , VBG DT NN VBZ RB JJ CC MD VB DT NN TO VB .
The shooting occured around 6.30 a.m. ( 2030 GMT ) on Tuesday at Glenwood , south of Maryborough , about 150 km ( 93 miles ) north of Brisbane on the Queensland state coast .	DT NN VBD IN CD NN ( CD NNP ) IN NNP IN NNP , RB IN NNP , RB CD NN ( CD NNS ) RB IN NNP IN DT NNP NN NN .
Police have declared an " emergent situation " in the area , giving them powers to raid houses , search cars , close schools , quarantine the area and evacuate people .	NNS VBP VBN DT " JJ NN " IN DT NN , VBG PRP NNS TO VB NNS , NN NNS , JJ NNS , VBG DT NN CC VB NNS .
" It is one step short of an emergency situation , " a police spokesman said via telephone from a command post in the bush .	" PRP VBZ CD NN JJ IN DT NN NN , " DT NN NN VBD IN NN IN DT NN NN IN DT NN .
" We have not had any sightings , but we suspect he is armed , possibly with a .22 rifle and / or a self-loading shotgun .	" PRP VBP RB VBN DT NNS , CC PRP VBP PRP VBZ JJ , RB IN DT NNP NN CC SYM CC DT JJ NN .
He is considered extremely dangerous , " he said .	PRP VBZ VBN RB JJ , " PRP VBD .
" It 's a possibility , not a probability , he may take a hostage , but we have measures in place if that is the case . "	" PRP VBZ DT NN , RB DT NN , PRP MD VB DT NN , CC PRP VBP NNS IN NN IN DT VBZ DT NN . "
William Fox broke into his wife 's home on Tuesday morning , shooting her dead and wounding his 16-year-old son , his son 's girlfriend and a neighbour , police said .	NNP NNP VBD IN PRP$ NN POS NN IN NNP NN , VBG PRP$ JJ CC JJ PRP$ JJ NN , PRP$ NN POS NN CC DT NN , NN VBD .
All three wounded are in a satisfactory condition in hospital .	DT CD JJ VBP IN DT JJ NN IN NN .
Fox initially fled from the shooting in a car , but then abandoned the car and entered dense bushland .	NNP RB VBD IN DT NN IN DT NN , CC RB VBD DT NN CC VBD JJ NN .
Fox is a skilled bushman who knows the area very well , police said .	NNP VBZ DT VBN NN WP VBZ DT NN RB RB , NNS VBD .
About 60 police , helicopters and fixed-wing aircraft have maintained an overnight cordon around 15 sq km ( six sq miles ) of bush near Glenwood .	IN CD NN , NNS CC JJ NN VBP VBN DT JJ NN IN CD JJ NN ( CD JJ NNS ) IN NN IN NNP .
The area is littered with caves and police believed Fox has a hideout which has enabled him to evade capture .	DT NN VBZ VBN IN NNS CC NN VBD NNP VBZ DT NN WDT VBZ VBN PRP TO VB NN .
Australia 's six states and two territories are involved in heated debate over the introduction of tough new firearm laws , including the banning rapid fire weapons , after a shooting massacre in the island state of Tasmania .	NNP POS CD NNS CC CD NNS VBP VBN IN JJ NN IN DT NN IN JJ JJ JJ NNS , VBG DT NN JJ NN NNS , IN DT NN NN IN DT NN NN IN NNP .
On April 28 , a lone gunman went on a shooting rampage at the site of the historic Port Arthur penal settlement , killing 35 people .	IN NNP CD , DT JJ NN VBD IN DT NN NN IN DT NN IN DT JJ NNP NNP JJ NN , VBG CD NNS .
Shanghai Ek Chor opens new motorcyle plant .	NNP NN NNP VBZ JJ JJ NN .
SHANGHAI 1996-08-28	NNP CD
Shanghai-Ek Chor Motorcycle Co , a Sino-Thai joint venture , opened a new plant to produce gasoline engines in the Pudong New Area of Shanghai , the Xinhua news agency reported on Wednesday .	NNP NNP NNP NNP , DT NNP JJ NN , VBD DT JJ NN TO VB NN NNS IN DT NNP NNP NNP IN NNP , DT NNP NN NN VBD IN NNP .
The plant , requiring an investment of three billion baht , has a floor space of 50,000 square metres and is designed to produce 600,000 gasoline engines a year , to be sold in China , South America , the Middle East and Africa , it said .	DT NN , VBG DT NN IN CD CD NN , VBZ DT NN NN IN CD JJ NNS CC VBZ VBN TO VB CD NN NNS DT NN , TO VB VBN IN NNP , NNP NNP , DT NNP NNP CC NNP , PRP VBD .
Capacity is expected to reach one million engines by the year 2000 , it said .	NN VBZ VBN TO VB CD CD NNS IN DT NN CD , PRP VBD .
Shanghai-Ek Chor is jointly owned by the Shanghai Automobile Corporation and Ek Chor China Motorcycle .	NNP NNP VBZ RB VBN IN DT NNP NNP NNP CC NNP NNP NNP NNP .
It started operations in January 1985 and has registered capital of 1.56 billion baht , it said but gave no further details .	PRP VBD NNS IN NNP CD CC VBZ VBN NN IN CD CD NN , PRP VBD CC VBD DT JJ NNS .
The joint venture has two motorcycle plants making Xingfu motorcycles and aims to be China 's biggest producer by the year 2000 , with output of two million units .	DT JJ NN VBZ CD NN NNS VBG NNP NNS CC NNS TO VB NNP POS JJS NN IN DT NN CD , IN NN IN CD CD NNS .
Khmer Rouge 's Ieng Sary confirms break with Pol Pot .	NNP NNP POS NNP NNP VBZ NN IN NNP NNP .
ARANYAPRATHET , Thailand 1996-08-28	NNP , NNP CD
Dissident Khmer Rouge leader Ieng Sary confirmed on Wednesday that he had broken with Pol Pot and other hardliners of the guerrilla group and had formed a rival movement .	NNP NNP NNP NN NNP NNP VBD IN NNP IN PRP VBD VBN IN NNP NNP CC JJ NNS IN DT JJ NN CC VBD VBN DT JJ NN .
Ieng Sary said in a written statement , the first since his split with Pol Pot earlier this month , that the new movement to be called the Democratic National United Movement ( DNUM ) would seek an end to civil war and work towards reconciliation with the Cambodian government .	VBG NNP VBD IN DT VBN NN , DT JJ IN PRP$ NN IN NNP NNP RBR DT NN , IN DT JJ NN TO VB VBN DT NNP NNP NNP NNP ( NNP ) MD VB DT NN TO JJ NN CC VBP IN NN IN DT JJ NN .
" I would like to inform you about my decision to break away from Pol Pot , Ta Mok , Son Sen 's dictatorial group , " he said in a copy of the statement obtained by Reuters .	" PRP MD VB TO VB PRP IN PRP$ NN TO VB RB IN NNP NNP , NNP NNP , NNP NNP POS JJ NN , " PRP VBD IN DT NN IN DT NN VBN IN NNP .
" We believe that our country will be reduced to nothing if the Khmer people continue to fight against each other indefinitely ....	" PRP VBP DT PRP$ NN MD VB VBN TO NN IN DT NNP NNS VBP TO VB IN DT JJ RB NNS
For this reason we decided to break away from that dictatorial group and found a movement named ' Democratic National United Movement ' , " he said .	IN DT NN PRP VBD TO VB RB IN DT JJ NN CC VBD DT NN VBD '' NNP NNP NNP NNP '' , " PRP VBD .
Ieng Sary was sentenced to death in absentia for his role in the mass genocide in Cambodia during the Khmer Rouge rule of terror between 1975-1979 when over a million people were executed or died of starvation , disease or overwork in mass labour camps .	VBG NN VBD VBN TO NN IN NN IN PRP$ NN IN DT JJ NN IN NNP IN DT NNP NNP NN IN NN IN CD WRB IN DT CD NNS VBD VBN CC VBD IN NN , NN CC NN IN JJ NN NNS .
The French-educated , former brother-in-law of Pol Pot was foreign minister in the Khmer Rouge government that ruled Cambodia and was seen as the group 's second in command .	DT JJ , JJ NN IN NNP NNP VBD JJ NN IN DT NNP NNP NN WDT VBD NNP CC VBD VBN IN DT NN POS NN IN NN .
Two dead in Cambodia helicopter crash .	CD JJ IN NNP NN NN .
PHNOM PENH 1996-08-28	NNP NNP CD
Two people were killed and six were injured after a helicopter crashed in bad weather in northern Cambodia , a government minister said on Wednesday .	CD NNS VBD VBN CC CD VBD VBN IN DT NN VBN IN JJ NN IN JJ NNP , DT NN NN VBD IN NNP .
The 15 survivors who had been on board the Russian-made MI-17 helicopter were taken to hospital from the remote jungle crash site about 150 km ( 90 miles ) north of Phnom Penh , Information Minister Ieng Mouly said .	DT CD NNS WP VBD VBN IN NN DT JJ JJ NN VBD VBN TO NN IN DT JJ NN NN NN IN CD NN ( CD NNS ) RB IN NNP NNP , NNP NNP NNP NNP VBD .
The cause of the crash of the helicopter , which went down on Sunday while on a routine resupply flight between Phnom Penh and Stung Treng , was not known .	DT NN IN DT NN IN DT NN , WDT VBD RP IN NNP IN IN DT JJ JJ NN IN NNP NNP CC VBN NNP , VBD RB VBN .
Ieng Mouly said the aircraft went down during a rain storm .	VBG NNP VBD DT NN VBD RB IN DT NN NN .
MOF 's Kubo says believes BOJ rate policy unchanged .	NNP POS NNP VBZ VBZ NNP NN NN JJ .
TOKYO 1996-08-28	TO CD
Japan 's Finance Minister Wataru Kubo told a news conference on Wednesday that he believes that the Bank of Japan 's ( BOJ ) interest rate policy which is geared towards ensuring economic growth has not changed after the release of the central bank 's " tankan " survey .	NNP POS NNP NNP NNP NNP VBD DT NN NN IN NNP IN PRP VBZ IN DT NNP IN NNP POS ( NNP ) NN NN NN WDT VBZ VBN IN VBG JJ NN VBZ RB VBN IN DT NN IN DT JJ NN POS " VBG " NN .
The BOJ released the August tankan , its quarterly short-term corporate survey , in the morning and it showed business outlook had worsened .	DT NNP VBD DT NNP NN , PRP$ JJ JJ JJ NN , IN DT NN CC PRP VBD NN NN VBD VBN .
However , Kubo said it did not necessarily show a substantial worsening of the economy .	RB , NN VBD PRP VBD RB RB VB DT JJ NN IN DT NN .
" The question is what the BOJ is going to do with its interest rate policy .	" DT NN VBZ WP DT NNP VBZ VBG TO VB IN PRP$ NN NN NN .
The BOJ governor has made it clear that the BOJ 's policy is aimed at ensuring basis for economic recovery .	DT NNP NN VBZ VBN PRP JJ IN DT NNP POS NN VBZ VBN IN VBG NN IN JJ NN .
I believe this policy has not changed , " he said .	PRP VBP DT NN VBZ RB VBN , " PRP VBD .
Asked if a supplementary budget for 1996/97 was needed to support the economy , Kubo said the tankan results would not lead to any immediate decision on the need for an extra budget .	VBN IN DT JJ NN IN CD VBD VBN TO VB DT NN , NNP VBD DT JJ NNS MD RB VB TO DT JJ NN IN DT NN IN DT JJ NN .
" I do n't think we should immediately draw a conclusion that the economic recovery has come to a halt or that signs of a economic contraction have emerged , " Kubo said . "	" PRP VBP RB VB PRP MD RB VB DT NN IN DT JJ NN VBZ VBN TO DT NN CC IN NNS IN DT JJ NN VBP VBN , " NNP VBD . "
The economy is not recovering smoothly or at a fast pace . "	DT NN VBZ RB VBG RB CC IN DT JJ NN . "
Kubo said he would make a decision on the need for a supplementary budget after an announcement in mid-September of Japan 's gross domestic product for the April-June quarter .	NN VBD PRP MD VB DT NN IN DT NN IN DT JJ NN IN DT NN IN NN IN NNP POS JJ JJ NN IN DT JJ NN .
" I would like to see how the economy moved in the first half of 1996 , " he said .	" PRP MD VB TO VB WRB DT NN VBD IN DT JJ NN IN CD , " PRP VBD .
China says militant Japan must face war past .	NNP VBZ JJ NNP MD VB NN NN .
BEIJING 1996-08-28	VBG CD
China on Wednesday called on Japan to acknowledge its wartime past and put a stop to a tide of resurgent militarism to prevent similar atrocities in future .	NNP IN NNP VBD IN NNP TO VB PRP$ NN IN CC VBD DT NN TO DT NN IN JJ NN TO VB JJ NNS IN NN .
" Some Japanese are still unrepentant about the atrocities committed by the Japanese militarists during the war , " said a commentary in the official China Daily .	" DT NNS VBP RB JJ IN DT NNS VBN IN DT JJ NNS IN DT NN , " VBD DT NN IN DT JJ NNP NNP .
" If they are still undecided whether the war Japan launched was aggressive in nature , it will be difficult to tell whether they will do the same again , " the newspaper said .	" IN PRP VBP RB JJ IN DT NN NNP VBD VBD JJ IN NN , PRP MD VB JJ TO VB IN PRP MD VB DT JJ RB , " DT NN VBD .
China raised indignant protests after several Japanese cabinet ministers visited a shrine dedicated to their country 's war dead on August 15 , the 51st anniversary of Japan 's World War Two surrender .	NNP VBD JJ NNS IN JJ JJ NN NNS VBD DT NN VBN TO PRP$ NN POS NN JJ IN NNP CD , DT JJ NN IN NNP POS NNP NNP CD NN .
" Numerous Japanese politicians have tried to whitewash their country 's war atrocities in recent years , " the commentary said .	" JJ JJ NNS VBP VBN TO NN PRP$ NN POS NN NNS IN JJ NNS , " DT NN VBD .
China estimates 35 million Chinese were killed or wounded by invading Japanese troops from 1931 to 1945 .	NNP VBZ CD CD NNP VBD VBN CC VBN IN VBG JJ NNS IN CD TO CD .
" The Japanese have never genuinely apologised for their wartime crimes , " the commentary said .	" DT NNPS VBP RB RB VBN IN PRP$ NN NNS , " DT NN VBD .
Japanese Prime Minister Ryutaro Hashimoto marked the August 15 anniversary by expressing " remorse " for foreign victims of Japan 's World War Two atrocities .	JJ NNP NNP NNP NNP VBD DT NNP CD NN IN VBG " NN " IN JJ NNS IN NNP POS NNP NNP CD NNS .
Japan coalition party leader plans to resign .	NNP NN NN NN NNS TO VB .
TOKYO 1996-08-28	TO CD
The leader of a junior partner in Japan 's three-party ruling coalition plans to resign to quell a political rebellion , party officials said on Wednesday .	DT NN IN DT JJ NN IN NNP POS JJ NN NN NNS TO VB TO VB DT JJ NN , NN NNS VBD IN NNP .
The officials said New Party Sakigake President Masayoshi Takemura , finance minister until the beginning of this year , promised his resignation in a meeting with the politician who set off the rebellion in the smallest coalition member .	DT NNS VBD NNP NNP NNP NNP NNP NNP , NN NN IN DT NN IN DT NN , VBD PRP$ NN IN DT NN IN DT NN WP VBD IN DT NN IN DT JJS NN NN .
They said the date of Takemura 's resignation would be determined by party officials .	PRP VBD DT NN IN NNP POS NN MD VB VBN IN NN NNS .
The Sakigake row has caused jitters in its coalition partners , Prime Minister Ryutaro Hashimoto 's Liberal Democratic Party ( LDP ) , the biggest grouping , and the Social Democratic Party .	DT NN NN VBZ VBN NNS IN PRP$ NN NNS , NNP NNP NNP NNP POS JJ JJ NNP ( NN ) , DT JJS NN , CC DT NNP NNP NNP .
But analysts said the row was not expected to immediately destabilise the government as even if Sakigake splits apart it has so few seats a loss of support would not lead to a general election .	CC NNS VBD DT NN VBD RB VBN TO RB VB DT NN IN RB IN NNP VBZ RB PRP VBZ RB JJ NNS DT NN IN NN MD RB VB TO DT JJ NN .
The dispute pits Takemura , who founded Sakigake in 1993 as a reform-oriented LDP splinter group , against party official Yukio Hatoyama , who says he will leave Sakigake to form a reformist political group next month .	DT NN VBZ NNP , WP VBD NNP IN CD IN DT JJ NNP NN NN , IN NN NN NNP NNP , WP VBZ PRP MD VB NNP TO VB DT JJ JJ NN IN NN .
Hatoyama , the 49-year-old grandson of a 1950s prime minister , on Tuesday quit as Sakigake secretary general and has publicly snubbed the 62-year-old Takemura , pointedly ruling his mentor out as a possible member of the new political force .	NNP , DT JJ NN IN DT CD JJ NN , IN NNP VBD IN NN NN NN CC VBZ RB VBN DT JJ NNP , RB NN PRP$ NN IN IN DT JJ NN IN DT JJ JJ NN .
Marathon talks between the two former allies on Tuesday night and Wednesday morning failed to resolve the dispute over the role of Takemura , seen by Hatoyama backers as tainted by his senior role in the LDP-dominated coalition .	NNP NNS IN DT CD JJ NNS IN NNP NN CC NNP NN VBD TO VB DT NN IN DT NN IN NNP , VBN IN NNP NNS IN JJ IN PRP$ JJ NN IN DT JJ NN .
The presence of Takemura , whose role as finance minister in passing an unpopular plan to use taxpayer funds to wind up failed housing loan firms ruined his reputation as a reformer , has stalled Hatoyama 's efforts to attract to his new group defectors from the opposition camp , analysts said .	DT NN IN NNP , WP$ NN IN NN NN IN VBG DT JJ NN TO VB NN NNS TO VB RP VBD NN NN NNS VBN PRP$ NN IN DT NN , VBZ VBD NNP POS NNS TO VB TO PRP$ JJ NN VBZ IN DT NN NN , NNS VBD .
Media reports say that at most 10 of 23 Sakigake members , joined by a handful of Social Democrats , will follow Hatoyama when he bolts -- far short of the 50 lawmakers needed to topple Hashimoto 's eight-month-old government .	NNP NNS VBP IN IN JJS CD IN CD NNP NNS , VBN IN DT NN IN NNP NNPS , MD VB NNP WRB PRP VBZ : RB RB IN DT CD NNS VBN TO VB NNP POS JJ NN .
Hashimoto -- who returns from a 10-day Latin American tour on Saturday -- must call polls by mid-1997 , and has repeatedly said he would not call an early general election .	NNP : WP VBZ IN DT JJ NNP NNP NN IN NNP : MD VB NNS IN NN , CC VBZ RB VBD PRP MD RB VB DT JJ JJ NN .
But many analysts and politicians believe he may dissolve parliament soon after it reconvenes in early October .	CC JJ NNS CC NNS VBP PRP MD VB NN RB IN PRP VBZ IN JJ NNP .
Liu Chong Hing interim net up 2.7 pct .	NNP NNP NNP JJ JJ RP CD NN .
HONG KONG 1996-08-28	IN VBG CD
Six months ended June 30	CD NNS VBD NNP CD
( in million HK$ unless stated )	( IN CD $ IN JJ )
Shr ( H.K. cents ) 65.61 vs 63.87	NN ( NNP NNS ) CD NNP CD
Dividend ( H.K. cents ) 18.0 vs 18.0	NN ( NNP NNS ) CD NNP CD
Exceptional items nil vs nil	JJ NNS NN NNP NN
Net 249.53 vs 242.94	JJ CD NNP CD
Turnover 119.49 vs 134.40	NN CD NNP CD
Company name Liu Chong Hing Investment Ltd	NN NN NNP NNP NNP NNP NNP
Books close September 23-27	NNS RB JJ CD
Dividend payable October 8	NN JJ NNP CD
NOTE - Liu Chong Hing engages in property development and investment , warehousing , banking and insurance services .	NN : NNP NNP NNP VBZ IN NN NN CC NN , NN , NN CC NN NNS .
-- Hong Kong Newsroom ( 852 ) 2843 6368	: NNP NNP NNP ( CD ) CD CD
Fire bomb hurled at U.S. consulate in Indonesia .	NN NN VBD IN NNP VBP IN NNP .
JAKARTA 1996-08-28	NNP CD
A fire bomb was thrown over the fence into the grounds of the U.S. Consulate-General in Indonesia 's second largest city of Surabaya but no one was hurt , a mission official said on Wednesday .	DT NN NN VBD VBN IN DT NN IN DT NNS IN DT NNP NNP IN NNP POS JJ JJS NN IN NNP CC NN NN VBD VBN , DT NN NN VBD IN NNP .
Craig Stromme , U.S. embassy spokesman in Jakarta , 700 km ( 430 miles ) west of Surabaya , confirmed the Tuesday morning attack .	NNP NNP , NNP NN NN IN NNP , CD NN ( CD NNS ) NN IN NNP , VBD DT NNP NN NN .
" Somebody threw a molotov cocktail over the fence and it went into the parking lot .	" NN VBD DT JJ NN IN DT NN CC PRP VBD IN DT NN NN .
It did n't hit anybody or anything , " Stromme said .	PRP VBD RB VB NN CC NN , " NNP VBD .
He said there was no immediate explanation for the attack or any information on those responsible .	PRP VBD EX VBD DT JJ NN IN DT NN CC DT NN IN DT JJ .
Shanghai novelist murdered at home .	NNP NN VBN IN NN .
SHANGHAI 1996-08-28	NNP CD
A Shanghai novelist was murdered at her home on Sunday , an official of the city 's Writers Association said on Wednesday .	DT NNP NN VBD VBN IN PRP$ NN IN NNP , DT NN IN DT NN POS NNPS NNP VBD IN NNP .
The victim was Dai Houying , who wrote about China 's 1966-76 leftist Cultural Revolution and the lives of Chinese intellectuals , the official said .	DT NN VBD NNP NNP , WP VBD IN NNP POS JJ JJ NNP NNP CC DT NNS IN JJ NNS , DT NN VBD .
The killing was under investigation , she said .	DT NN VBD IN NN , PRP VBD .
She gave no further details .	PRP VBD DT JJ NNS .
Born in 1937 in the central province of Anhui , Dai came to Shanghai as a student and remained in the city as a prolific author and teacher of Chinese .	VBN IN CD IN DT JJ NN IN NNP , NNP VBD TO NNP IN DT NN CC VBD IN DT NN IN DT JJ NN CC NN IN JJ .
She was divorced and lived alone , leaving one daughter who received university education in Hawaii and lives in Chicago , a friend said .	PRP VBD VBN CC VBD RB , VBG CD NN WP VBD NN NN IN NNP CC NNS IN NNP , DT NN VBD .
Dai 's most famous book , " Ren A Ren " ( People , People ) , was translated into German and English , he said .	NNP POS RBS JJ NN , " NNP NNP NNP " ( NNS , NNP ) , VBD VBN IN JJ CC NNP , PRP VBD .
Hwa Kay plunges on rights issue , earnings .	NNP NNP VBZ IN NNS NN , NNS .
HONG KONG 1996-08-28	IN VBG CD
Shares of Hwa Kay Thai Holdings Ltd plunged to an all-time low after the company announced a rights issue plan and also reported a sharp fall in earnings , brokers said .	NNS IN NNP NNP NNP NNP NNP VBD TO DT JJ JJ IN DT NN VBD DT NNS VBP NN CC RB VBD DT JJ NN IN NNS , NNS VBD .
The stock fell HK$ 0.23 , or 30.26 percent , to an all-time low of HK$ 0.53 .	DT NN VBD $ CD , CC CD NN , TO DT JJ JJ IN $ CD .
" Investors unloaded their shares due to the poor earnings outlook following a sharp profit decline .	" NNS JJ PRP$ NNS JJ TO DT JJ NNS NN VBG DT JJ NN NN .
The rights issue also prompted dilution fears , " said a dealing director at a local brokerage .	DT NNS NN RB VBD NN NNS , " VBD DT NN NN IN DT JJ NN .
Japan July refined zinc imports off 47.5 pct yr / yr .	NNP NNP JJ NN NNS IN CD JJ NN SYM NN .
TOKYO 1996-08-28	TO CD
Japan 's refined zinc imports in July totalled 3,684 tonnes , off 47.5 percent from 7,011 tonnes in the same month a year earlier , according to Ministry of Finance data released on Wednesday .	NNP POS JJ NN NNS IN NNP VBD CD NNS , IN CD NN IN CD NNS IN DT JJ NN DT NN RB , VBG TO NNP IN NNP NNS VBN IN NNP .
Figures were as follows ( in tonnes ) :	NNS VBD RB VBZ ( IN NNS ) :
July 96 June 96 July 95	NNP CD NNP CD NNP CD
Total 3,684 3,292 7,011	JJ CD CD CD
Major suppliers :	JJ NNS :
China 961 1,683 5,539	NNP CD CD CD
Refined zinc imports in the first seven months of 1996 totalled 115,941 tonnes , up 38.4 percent from 83,801 tonnes in the year-ago period .	VBN NN NNS IN DT JJ CD NNS IN CD JJ CD NNS , RB CD NN IN CD NNS IN DT JJ NN .
-- Tokyo Commodities Desk ( 813 3432 6179 )	: NNP NNP NNP ( CD CD CD )
PRESS DIGEST - HK newspaper editorials - Aug 28 .	NNS NNP : NNP NN NNS : NNP CD .
HONG KONG 1996-08-28	IN VBG CD
With 307 days to go before the British colony reverts to China , the Hong Kong media focused mainly on domestic issues concerning alleged pressure on a judge , cross straights relations and the democratic lobby 's relationship with Beijing .	IN CD NNS TO VB IN DT JJ NN VBZ TO NNP , DT NNP NNP NNS VBD RB IN JJ NNS VBG JJ NN IN DT NN , VB NNS NNS CC DT JJ NN POS NN IN NNP .
The Beijing-funded WEN WEI PO said Taiwan 's government could not hope to stem the island 's economic and trade exchanges with China .	DT JJ NNP NNP NNP VBD NNP POS NN MD RB VB TO VB DT NN POS JJ CC NN NNS IN NNP .
The paper said that using administrative power to limit economic activities across the Taiwan strait would not work .	DT NN VBD IN VBG JJ NN TO VB JJ NNS IN DT NNP NN MD RB VB .
MING PAO DAILY NEWS said it hoped Chinese officials would soon open dialogue with Hong Kong 's Democratic Party and the newly-established democracy lobby , Frontier , in order to ease anxieties in the lead-up to the handover .	VBG TO NNP NNP VBD PRP VBD JJ NNS MD RB VB NN IN NNP NNP POS NNP NNP CC DT JJ NN NN , NNP , IN NN TO VB NNS IN DT JJ TO DT NN .
The English language SOUTH CHINA MORNING POST said the judiciary needed to take swift and decisive action in investigating the allegations that a judge had been subjected to pressure in a New Zealand immigration case involving allegations of fraud .	DT JJ NN NNP NNP NNP NNP VBD DT NN VBN TO VB JJ CC JJ NN IN VBG DT NNS IN DT NN VBD VBN VBN TO NN IN DT NNP NNP NN NN VBG NNS IN NN .
The independence of the judiciary and the rule of law were of paramount importance to Hong Kong 's survival as a business centre .	DT NN IN DT NN CC DT NN IN NN VBD IN JJ NN TO NNP NNP POS NN IN DT NN NN .
The Chinese language daily HONG KONG ECONOMIC TIMES said the Legal Department had been indecisive in its handling of the judge 's case .	DT JJ NN JJ NNP NNP JJ NNP VBD DT NNP NNP VBD VBN JJ IN PRP$ NN IN DT NN POS NN .
